season,competition_scope,player_name,nationality,position,squad,age,born,appearances,starts,minutes,nineties,goals,assists,penalty_goals,penalty_attempts,own_goals,yellow_cards,red_cards,xg,npxg,xag,progressive_carries,progressive_passes,progressive_receives,shots,shots_on_target,passes_completed,passes_attempted,pass_accuracy,key_passes,crosses,tackles,tackles_won,interceptions,clearances,errors,touches,touches_att_pen,dribbles_attempted,dribbles_completed,carries,passes_into_final_third,carries_into_final_third,shot_creating_actions,goal_creating_actions,recoveries,fouls_committed,fouls_drawn,aerial_duels_won,aerial_duels_lost,clean_sheets,goals_conceded,saves,penalties_saved,source_dataset
2024-25,serie_a_league,Tijjani Noslin,nl NED,"FW,MF",Lazio,25.0,1999.0,30,8,861,9.6,2,2,0,0,0.0,2,0,2.0,2.0,1.6,13.0,16.0,56.0,19.0,6.0,186.0,248.0,75.0,12.0,15.0,6.0,5.0,1.0,7.0,0.0,347.0,47.0,19.0,8.0,194.0,12.0,12.0,27.0,4.0,22.0,21.0,2.0,27.0,29.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Adam Obert,sk SVK,DF,Cagliari,21.0,2002.0,21,13,1077,12.0,1,1,0,0,0.0,4,0,0.9,0.9,0.4,12.0,50.0,19.0,9.0,2.0,413.0,537.0,76.9,10.0,11.0,31.0,18.0,23.0,48.0,2.0,710.0,13.0,14.0,5.0,298.0,36.0,9.0,25.0,4.0,59.0,22.0,1.0,25.0,22.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Jens Odgaard,dk DEN,"MF,FW",Bologna,25.0,1999.0,29,24,1952,21.7,6,1,0,0,0.0,1,0,3.6,3.6,1.8,35.0,50.0,99.0,49.0,22.0,374.0,500.0,74.8,16.0,24.0,20.0,14.0,9.0,12.0,1.0,759.0,68.0,53.0,15.0,454.0,34.0,26.0,45.0,6.0,70.0,42.0,4.0,43.0,62.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Noah Okafor,ch SUI,FW,Milan,24.0,2000.0,11,5,414,4.6,1,0,0,0,0.0,0,0,1.5,1.5,0.3,21.0,12.0,48.0,13.0,7.0,77.0,105.0,73.3,4.0,13.0,2.0,1.0,2.0,1.0,0.0,163.0,28.0,25.0,12.0,111.0,4.0,11.0,11.0,2.0,8.0,6.0,0.0,2.0,5.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Noah Okafor,ch SUI,"FW,MF",Napoli,24.0,2000.0,4,0,40,0.4,0,0,0,0,0.0,0,0,0.0,0.0,0.6,7.0,1.0,6.0,1.0,0.0,11.0,17.0,64.7,3.0,3.0,3.0,2.0,0.0,1.0,0.0,29.0,6.0,7.0,2.0,15.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,2.0,2.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Yllan Okou,fr FRA,DF,Hellas Verona,21.0,2002.0,1,0,2,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Maduka Okoye,ng NGA,GK,Udinese,24.0,1999.0,25,25,2250,25.0,0,0,0,0,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,681.0,878.0,77.6,0.0,0.0,0.0,0.0,0.0,12.0,1.0,940.0,0.0,0.0,0.0,589.0,18.0,0.0,1.0,0.0,51.0,0.0,0.0,7.0,0.0,4.0,40.0,73.0,0.0,Football Players Stats 2024-2025
2024-25,serie_a_league,Mathías Olivera,uy URU,DF,Napoli,26.0,1997.0,32,26,2370,26.3,0,2,0,0,0.0,4,0,1.1,1.1,1.7,46.0,126.0,62.0,16.0,2.0,1350.0,1580.0,85.4,25.0,22.0,63.0,35.0,28.0,74.0,1.0,1884.0,42.0,16.0,5.0,957.0,121.0,23.0,42.0,5.0,93.0,28.0,3.0,41.0,36.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Jean Onana,cm CMR,MF,Genoa,24.0,2000.0,9,2,304,3.4,0,0,0,0,0.0,1,0,0.0,0.0,0.1,1.0,11.0,4.0,1.0,0.0,108.0,134.0,80.6,2.0,1.0,12.0,6.0,4.0,8.0,1.0,183.0,1.0,4.0,2.0,82.0,8.0,1.0,4.0,0.0,13.0,12.0,0.0,6.0,10.0,,,,,Football Players Stats 2024-2025
2024-25,serie_a_league,Jacob Ondrejka,se SWE,"MF,FW",Parma,21.0,2002.0,12,3,422,4.7,5,0,0,0,0.0,0,0,1.3,1.3,0.6,13.0,11.0,21.0,14.0,10.0,95.0,127.0,74.8,7.0,16.0,12.0,6.0,7.0,2.0,0.0,192.0,19.0,8.0,6.0,107.0,3.0,11.0,14.0,1.0,18.0,1.0,1.0,0.0,5.0,,,,,Football Players Stats 2024-2025
